"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\temperature (ºc)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\temperature (ºc)"
"02/17/2014 16:37:56.962","0","0"
"02/17/2014 16:37:56.962","0","0"
"02/17/2014 16:38:08.180","0","0"
"02/17/2014 16:38:19.383","0","0"
"02/17/2014 16:38:30.540","0","0"
"02/17/2014 16:38:41.743","0","0"
"02/17/2014 16:38:52.946","0","0"
"02/17/2014 16:39:04.118","0","0"
"02/17/2014 16:39:15.259","0","0"
"02/17/2014 16:39:26.446","0","0"
"02/17/2014 16:39:37.681","0","0"
"02/17/2014 16:39:48.852","0","0"
"02/17/2014 16:40:00.509","0","0"
"02/17/2014 16:40:12.009","0","0"
"02/17/2014 16:40:23.399","0","0"
"02/17/2014 16:40:34.634","0","0"
"02/17/2014 16:40:45.884","0","0"
"02/17/2014 16:40:57.196","0","0"
"02/17/2014 16:41:08.478","0","0"
"02/17/2014 16:41:19.759","0","0"
"02/17/2014 16:41:31.056","0","0"
"02/17/2014 16:41:42.337","0","0"
"02/17/2014 16:41:53.618","0","0"
"02/17/2014 16:42:04.900","0","0"
"02/17/2014 16:42:16.150","0","0"
"02/17/2014 16:42:27.540","0","0"
"02/17/2014 16:42:38.791","0","0"
"02/17/2014 16:42:50.103","0","0"
"02/17/2014 16:43:01.494","0","0"
"02/17/2014 16:43:12.744","0","0"
"02/17/2014 16:43:24.072","0","0"
"02/17/2014 16:43:35.400","0","0"
"02/17/2014 16:43:46.666","0","0"
"02/17/2014 16:43:57.916","0","0"
"02/17/2014 16:44:09.260","0","0"
"02/17/2014 16:44:20.745","0","0"
"02/17/2014 16:44:32.276","0","0"
"02/17/2014 16:44:43.542","0","0"
"02/17/2014 16:44:54.792","0","0"
"02/17/2014 16:45:06.136","0","0"
"02/17/2014 16:45:17.417","0","0"
"02/17/2014 16:45:28.776","0","0"
"02/17/2014 16:45:40.058","0","0"
"02/17/2014 16:45:51.339","0","0"
"02/17/2014 16:46:02.621","0","0"
"02/17/2014 16:46:13.902","0","0"
"02/17/2014 16:46:25.183","0","0"
"02/17/2014 16:46:36.465","0","0"
"02/17/2014 16:46:47.746","0","0"
"02/17/2014 16:46:58.980","0","0"
"02/17/2014 16:47:10.262","0","0"
"02/17/2014 16:47:21.746","0","0"
"02/17/2014 16:47:33.262","0","0"
"02/17/2014 16:47:44.544","0","0"
"02/17/2014 16:47:55.794","0","0"
"02/17/2014 16:48:07.138","0","0"
"02/17/2014 16:48:18.372","0","0"
"02/17/2014 16:48:29.701","0","0"
"02/17/2014 16:48:40.935","0","0"
"02/17/2014 16:48:52.185","0","0"
"02/17/2014 16:49:03.576","0","0"
"02/17/2014 16:49:14.825","0","0"
