"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\% gpu usage","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\% gpu usage"
"02/17/2014 16:37:55.680","0","0"
"02/17/2014 16:37:55.680","0","0"
"02/17/2014 16:38:06.821","0","0"
"02/17/2014 16:38:18.040","0","0"
"02/17/2014 16:38:29.227","0","0"
"02/17/2014 16:38:40.399","0","0"
"02/17/2014 16:38:51.602","0","0"
"02/17/2014 16:39:02.774","0","0"
"02/17/2014 16:39:13.962","0","0"
"02/17/2014 16:39:25.102","0","0"
"02/17/2014 16:39:36.321","0","0"
"02/17/2014 16:39:47.540","0","0"
"02/17/2014 16:39:59.196","0","0"
"02/17/2014 16:40:10.587","0","0"
"02/17/2014 16:40:22.087","0","0"
"02/17/2014 16:40:33.337","0","0"
"02/17/2014 16:40:44.571","0","0"
"02/17/2014 16:40:55.884","0","0"
"02/17/2014 16:41:07.165","0","0"
"02/17/2014 16:41:18.446","0","0"
"02/17/2014 16:41:29.728","0","0"
"02/17/2014 16:41:41.025","0","0"
"02/17/2014 16:41:52.306","0","0"
"02/17/2014 16:42:03.587","0","0"
"02/17/2014 16:42:14.837","0","0"
"02/17/2014 16:42:26.228","0","0"
"02/17/2014 16:42:37.478","0","0"
"02/17/2014 16:42:48.791","0","0"
"02/17/2014 16:43:00.181","0","0"
"02/17/2014 16:43:11.431","0","0"
"02/17/2014 16:43:22.744","0","0"
"02/17/2014 16:43:34.088","0","0"
"02/17/2014 16:43:45.354","0","0"
"02/17/2014 16:43:56.604","0","0"
"02/17/2014 16:44:07.948","0","0"
"02/17/2014 16:44:19.432","0","0"
"02/17/2014 16:44:30.979","0","0"
"02/17/2014 16:44:42.229","0","0"
"02/17/2014 16:44:53.479","0","0"
"02/17/2014 16:45:04.823","0","0"
"02/17/2014 16:45:16.104","0","0"
"02/17/2014 16:45:27.464","0","0"
"02/17/2014 16:45:38.745","0","0"
"02/17/2014 16:45:50.027","0","0"
"02/17/2014 16:46:01.308","0","0"
"02/17/2014 16:46:12.589","0","0"
"02/17/2014 16:46:23.871","0","0"
"02/17/2014 16:46:35.152","0","0"
"02/17/2014 16:46:46.433","0","0"
"02/17/2014 16:46:57.684","0","0"
"02/17/2014 16:47:08.949","0","0"
"02/17/2014 16:47:20.434","0","0"
"02/17/2014 16:47:31.965","0","0"
"02/17/2014 16:47:43.231","0","0"
"02/17/2014 16:47:54.481","0","0"
"02/17/2014 16:48:05.825","0","0"
"02/17/2014 16:48:17.060","0","0"
"02/17/2014 16:48:28.388","0","0"
"02/17/2014 16:48:39.623","0","0"
"02/17/2014 16:48:50.857","0","0"
"02/17/2014 16:49:02.263","0","0"
"02/17/2014 16:49:13.513","0","0"
"02/17/2014 16:49:24.903","0","0"
"02/17/2014 16:49:36.216","0","0"
"02/17/2014 16:49:47.356","0","0"
"02/17/2014 16:49:58.496","0","0"
"02/17/2014 16:50:09.637","0","0"
"02/17/2014 16:50:20.777","0","0"
"02/17/2014 16:50:31.917","0","0"
"02/17/2014 16:50:43.073","0","0"
"02/17/2014 16:50:54.214","0","0"
"02/17/2014 16:51:05.385","0","0"
"02/17/2014 16:51:16.573","0","0"
"02/17/2014 16:51:27.697","0","0"
"02/17/2014 16:51:38.838","0","0"
"02/17/2014 16:51:49.962","0","0"
"02/17/2014 16:52:01.087","0","0"
"02/17/2014 16:52:12.306","0","0"
"02/17/2014 16:52:23.462","0","0"
"02/17/2014 16:52:34.602","0","0"
"02/17/2014 16:52:45.805","0","0"
"02/17/2014 16:52:56.961","0","0"
"02/17/2014 16:53:08.086","0","0"
"02/17/2014 16:53:19.242","0","0"
"02/17/2014 16:53:30.429","0","0"
