"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\core clock (mhz)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\core clock (mhz)"
"02/17/2014 17:01:16.665","0","1147"
"02/17/2014 17:01:27.524","0","1147"
"02/17/2014 17:01:38.446","0","1147"
"02/17/2014 17:01:49.384","0","1147"
"02/17/2014 17:02:00.243","0","1147"
"02/17/2014 17:02:11.118","0","1147"
"02/17/2014 17:02:22.072","0","1147"
"02/17/2014 17:02:32.947","0","1147"
"02/17/2014 17:02:43.931","0","1147"
"02/17/2014 17:02:54.838","0","1147"
"02/17/2014 17:03:05.744","0","1147"
"02/17/2014 17:03:16.619","0","1147"
"02/17/2014 17:03:27.525","0","1147"
"02/17/2014 17:03:38.463","0","1147"
"02/17/2014 17:03:49.322","0","1147"
"02/17/2014 17:04:00.198","0","1147"
"02/17/2014 17:04:11.104","0","1147"
"02/17/2014 17:04:21.979","0","1147"
"02/17/2014 17:04:32.886","0","1147"
"02/17/2014 17:04:43.823","0","1147"
"02/17/2014 17:04:54.777","0","1147"
"02/17/2014 17:05:05.667","0","1147"
"02/17/2014 17:05:16.558","0","1147"
"02/17/2014 17:05:27.527","0","1147"
"02/17/2014 17:05:38.433","0","1147"
"02/17/2014 17:05:49.356","0","1147"
"02/17/2014 17:06:00.293","0","1147"
"02/17/2014 17:06:11.356","0","1147"
"02/17/2014 17:06:22.278","0","1147"
"02/17/2014 17:06:33.168","0","1147"
"02/17/2014 17:06:44.058","0","1147"
"02/17/2014 17:06:54.996","0","1147"
"02/17/2014 17:07:05.933","0","1147"
"02/17/2014 17:07:16.855","0","1147"
"02/17/2014 17:07:27.823","0","1147"
"02/17/2014 17:07:38.776","0","1147"
"02/17/2014 17:07:49.636","0","1147"
"02/17/2014 17:08:00.573","0","1147"
"02/17/2014 17:08:11.463","0","1147"
"02/17/2014 17:08:22.416","0","1147"
"02/17/2014 17:08:33.322","0","1147"
"02/17/2014 17:08:44.213","0","1147"
"02/17/2014 17:08:55.150","0","1147"
"02/17/2014 17:09:06.134","0","1147"
"02/17/2014 17:09:17.072","0","1147"
"02/17/2014 17:09:28.009","0","1147"
"02/17/2014 17:09:38.915","0","1147"
"02/17/2014 17:09:49.805","0","1147"
"02/17/2014 17:10:00.758","0","1147"
"02/17/2014 17:10:11.618","0","1147"
"02/17/2014 17:10:22.508","0","1147"
"02/17/2014 17:10:33.383","0","1147"
"02/17/2014 17:10:44.289","0","1147"
"02/17/2014 17:10:55.179","0","1147"
"02/17/2014 17:11:06.038","0","1147"
"02/17/2014 17:11:16.898","0","1147"
"02/17/2014 17:11:27.820","0","1147"
"02/17/2014 17:11:38.742","0","1147"
"02/17/2014 17:11:49.617","0","1147"
"02/17/2014 17:12:00.492","0","1147"
"02/17/2014 17:12:11.398","0","1147"
"02/17/2014 17:12:22.335","0","1147"
"02/17/2014 17:12:33.257","0","1147"
"02/17/2014 17:12:44.132","0","1147"
"02/17/2014 17:12:55.007","0","1147"
"02/17/2014 17:13:05.945","0","1147"
"02/17/2014 17:13:16.836","0","1147"
"02/17/2014 17:13:27.726","0","1147"
"02/17/2014 17:13:38.648","0","1147"
"02/17/2014 17:13:49.523","0","1147"
"02/17/2014 17:14:00.476","0","1147"
"02/17/2014 17:14:11.367","0","1147"
"02/17/2014 17:14:22.258","0","1147"
"02/17/2014 17:14:33.164","0","1147"
"02/17/2014 17:14:44.148","0","1147"
"02/17/2014 17:14:55.023","0","1147"
"02/17/2014 17:15:05.976","0","1147"
"02/17/2014 17:15:16.930","0","1147"
"02/17/2014 17:15:27.805","0","1147"
"02/17/2014 17:15:38.680","0","1147"
"02/17/2014 17:15:49.570","0","1147"
"02/17/2014 17:16:00.492","0","1147"
"02/17/2014 17:16:11.617","0","1147"
"02/17/2014 17:16:22.524","0","1147"
"02/17/2014 17:16:33.399","0","1147"
"02/17/2014 17:16:44.290","0","1147"
"02/17/2014 17:16:55.227","0","1147"
"02/17/2014 17:17:06.134","0","1147"
"02/17/2014 17:17:17.024","0","1147"
"02/17/2014 17:17:27.915","0","1147"
"02/17/2014 17:17:38.806","0","1147"
"02/17/2014 17:17:49.728","0","1147"
"02/17/2014 17:18:00.619","0","1147"
"02/17/2014 17:18:11.494","0","1147"
"02/17/2014 17:18:22.401","0","1147"
"02/17/2014 17:18:33.354","0","1147"
"02/17/2014 17:18:44.260","0","1147"
"02/17/2014 17:18:55.151","0","1147"
"02/17/2014 17:19:06.104","0","1147"
"02/17/2014 17:19:17.198","0","1147"
"02/17/2014 17:19:28.198","0","1147"
"02/17/2014 17:19:39.199","0","1147"
"02/17/2014 17:19:50.074","0","1147"
"02/17/2014 17:20:00.933","0","1147"
"02/17/2014 17:20:11.855","0","1147"
"02/17/2014 17:20:22.809","0","1147"
"02/17/2014 17:20:33.746","0","1147"
"02/17/2014 17:20:44.637","0","1147"
"02/17/2014 17:20:55.512","0","1147"
"02/17/2014 17:21:06.372","0","1147"
"02/17/2014 17:21:17.325","0","1147"
"02/17/2014 17:21:28.185","0","1147"
"02/17/2014 17:21:39.107","0","1147"
"02/17/2014 17:21:50.060","0","1147"
"02/17/2014 17:22:00.998","0","1147"
"02/17/2014 17:22:11.888","0","1147"
"02/17/2014 17:22:22.764","0","1147"
"02/17/2014 17:22:33.639","0","1147"
"02/17/2014 17:22:44.498","0","1147"
"02/17/2014 17:22:55.452","0","1147"
"02/17/2014 17:23:06.327","0","1147"
"02/17/2014 17:23:17.249","0","1147"
"02/17/2014 17:23:28.171","0","1147"
"02/17/2014 17:23:39.139","0","1147"
"02/17/2014 17:23:50.061","0","1147"
"02/17/2014 17:24:00.937","0","1147"
"02/17/2014 17:24:11.859","0","1147"
"02/17/2014 17:24:22.734","0","1147"
"02/17/2014 17:24:33.671","0","1147"
"02/17/2014 17:24:44.562","0","1147"
"02/17/2014 17:24:55.500","0","1147"
"02/17/2014 17:25:06.437","0","1147"
"02/17/2014 17:25:17.359","0","1147"
"02/17/2014 17:25:28.312","0","1147"
"02/17/2014 17:25:39.297","0","1147"
"02/17/2014 17:25:50.203","0","1147"
"02/17/2014 17:26:01.156","0","1147"
"02/17/2014 17:26:12.157","0","1147"
"02/17/2014 17:26:23.032","0","1147"
"02/17/2014 17:26:33.891","0","1147"
"02/17/2014 17:26:44.844","0","1147"
"02/17/2014 17:26:55.719","0","1147"
"02/17/2014 17:27:06.610","0","1147"
"02/17/2014 17:27:17.501","0","1147"
"02/17/2014 17:27:28.407","0","1147"
"02/17/2014 17:27:39.392","0","1147"
"02/17/2014 17:27:50.329","0","1147"
"02/17/2014 17:28:01.204","0","1147"
"02/17/2014 17:28:12.064","0","1147"
"02/17/2014 17:28:22.939","0","1147"
"02/17/2014 17:28:33.830","0","1147"
"02/17/2014 17:28:44.689","0","1147"
"02/17/2014 17:28:55.627","0","1147"
"02/17/2014 17:29:06.564","0","1147"
"02/17/2014 17:29:17.471","0","1147"
"02/17/2014 17:29:28.346","0","1147"
"02/17/2014 17:29:39.236","0","1147"
"02/17/2014 17:29:50.112","0","1147"
"02/17/2014 17:30:01.002","0","1147"
"02/17/2014 17:30:11.909","0","1147"
"02/17/2014 17:30:22.877","0","1147"
"02/17/2014 17:30:33.815","0","1147"
"02/17/2014 17:30:44.690","0","1147"
"02/17/2014 17:30:55.581","0","1147"
"02/17/2014 17:31:06.440","0","1147"
"02/17/2014 17:31:17.300","0","1147"
"02/17/2014 17:31:28.175","0","1147"
"02/17/2014 17:31:39.113","0","1147"
"02/17/2014 17:31:50.019","0","1147"
"02/17/2014 17:32:00.878","0","1147"
"02/17/2014 17:32:11.847","0","1147"
"02/17/2014 17:32:22.785","0","1147"
"02/17/2014 17:32:33.676","0","1147"
"02/17/2014 17:32:44.582","0","1147"
