"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\power consumption (mw)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\power consumption (mw)"
"02/17/2014 16:37:58.243","0","0"
"02/17/2014 16:37:58.243","0","0"
"02/17/2014 16:38:09.477","0","0"
"02/17/2014 16:38:20.680","0","0"
"02/17/2014 16:38:31.837","0","0"
"02/17/2014 16:38:43.040","0","0"
"02/17/2014 16:38:54.227","0","0"
"02/17/2014 16:39:05.415","0","0"
"02/17/2014 16:39:16.555","0","0"
"02/17/2014 16:39:27.743","0","0"
"02/17/2014 16:39:38.962","0","0"
"02/17/2014 16:39:50.399","0","0"
"02/17/2014 16:40:01.899","0","0"
"02/17/2014 16:40:13.399","0","0"
"02/17/2014 16:40:24.712","0","0"
"02/17/2014 16:40:35.931","0","0"
"02/17/2014 16:40:47.196","0","0"
"02/17/2014 16:40:58.509","0","0"
"02/17/2014 16:41:09.790","0","0"
"02/17/2014 16:41:21.071","0","0"
"02/17/2014 16:41:32.368","0","0"
"02/17/2014 16:41:43.650","0","0"
"02/17/2014 16:41:54.931","0","0"
"02/17/2014 16:42:06.212","0","0"
"02/17/2014 16:42:17.525","0","0"
"02/17/2014 16:42:28.853","0","0"
"02/17/2014 16:42:40.166","0","0"
"02/17/2014 16:42:51.478","0","0"
"02/17/2014 16:43:02.806","0","0"
"02/17/2014 16:43:14.135","0","0"
"02/17/2014 16:43:25.463","0","0"
"02/17/2014 16:43:36.713","0","0"
"02/17/2014 16:43:47.979","0","0"
"02/17/2014 16:43:59.291","0","0"
"02/17/2014 16:44:10.573","0","0"
"02/17/2014 16:44:22.291","0","0"
"02/17/2014 16:44:33.588","0","0"
"02/17/2014 16:44:44.854","0","0"
"02/17/2014 16:44:56.167","0","0"
"02/17/2014 16:45:07.448","0","0"
"02/17/2014 16:45:18.729","0","0"
"02/17/2014 16:45:30.089","0","0"
"02/17/2014 16:45:41.370","0","0"
"02/17/2014 16:45:52.652","0","0"
"02/17/2014 16:46:03.933","0","0"
"02/17/2014 16:46:15.214","0","0"
"02/17/2014 16:46:26.496","0","0"
"02/17/2014 16:46:37.777","0","0"
"02/17/2014 16:46:49.058","0","0"
"02/17/2014 16:47:00.309","0","0"
"02/17/2014 16:47:11.574","0","0"
"02/17/2014 16:47:23.293","0","0"
"02/17/2014 16:47:34.575","0","0"
"02/17/2014 16:47:45.856","0","0"
"02/17/2014 16:47:57.169","0","0"
"02/17/2014 16:48:08.450","0","0"
"02/17/2014 16:48:19.763","0","0"
"02/17/2014 16:48:31.013","0","0"
"02/17/2014 16:48:42.248","0","0"
"02/17/2014 16:48:53.560","0","0"
"02/17/2014 16:49:04.888","0","0"
"02/17/2014 16:49:16.200","0","0"
"02/17/2014 16:49:27.528","0","0"
"02/17/2014 16:49:38.809","0","0"
"02/17/2014 16:49:49.903","0","0"
"02/17/2014 16:50:01.074","0","0"
"02/17/2014 16:50:12.215","0","0"
"02/17/2014 16:50:23.355","0","0"
"02/17/2014 16:50:34.480","0","0"
"02/17/2014 16:50:45.667","0","0"
"02/17/2014 16:50:56.792","0","0"
"02/17/2014 16:51:07.963","0","0"
"02/17/2014 16:51:19.135","0","0"
"02/17/2014 16:51:30.260","0","0"
"02/17/2014 16:51:41.400","0","0"
"02/17/2014 16:51:52.541","0","0"
"02/17/2014 16:52:03.681","0","0"
"02/17/2014 16:52:14.884","0","0"
"02/17/2014 16:52:26.040","0","0"
"02/17/2014 16:52:37.211","0","0"
"02/17/2014 16:52:48.383","0","0"
"02/17/2014 16:52:59.539","0","0"
"02/17/2014 16:53:10.648","0","0"
"02/17/2014 16:53:21.851","0","0"
"02/17/2014 16:53:32.991","0","0"
"02/17/2014 16:53:44.101","0","0"
"02/17/2014 16:53:55.256","0","0"
"02/17/2014 16:54:06.428","0","0"
"02/17/2014 16:54:17.553","0","0"
"02/17/2014 16:54:28.835","0","0"
"02/17/2014 16:54:40.022","0","0"
"02/17/2014 16:54:51.163","0","0"
"02/17/2014 16:55:02.335","0","0"
"02/17/2014 16:55:13.491","0","0"
"02/17/2014 16:55:24.616","0","0"
"02/17/2014 16:55:35.804","0","0"
"02/17/2014 16:55:47.007","0","0"
"02/17/2014 16:55:58.179","0","0"
"02/17/2014 16:56:09.491","0","0"
"02/17/2014 16:56:20.507","0","0"
"02/17/2014 16:56:31.366","0","0"
"02/17/2014 16:56:42.257","0","0"
"02/17/2014 16:56:53.148","0","0"
"02/17/2014 16:57:04.023","0","0"
"02/17/2014 16:57:14.960","0","0"
"02/17/2014 16:57:25.851","0","0"
"02/17/2014 16:57:36.741","0","0"
"02/17/2014 16:57:47.788","0","0"
"02/17/2014 16:57:58.679","0","0"
"02/17/2014 16:58:09.867","0","0"
"02/17/2014 16:58:20.757","0","0"
"02/17/2014 16:58:31.710","0","0"
"02/17/2014 16:58:42.632","0","0"
"02/17/2014 16:58:53.539","0","0"
"02/17/2014 16:59:04.445","0","0"
"02/17/2014 16:59:15.336","0","0"
"02/17/2014 16:59:26.273","0","0"
"02/17/2014 16:59:37.180","0","0"
"02/17/2014 16:59:48.102","0","0"
"02/17/2014 16:59:59.024","0","0"
"02/17/2014 17:00:09.961","0","0"
"02/17/2014 17:00:20.899","0","0"
"02/17/2014 17:00:31.821","0","0"
"02/17/2014 17:00:42.711","0","0"
"02/17/2014 17:00:53.618","0","0"
"02/17/2014 17:01:04.571","0","0"
"02/17/2014 17:01:15.446","0","0"
"02/17/2014 17:01:26.306","0","0"
"02/17/2014 17:01:37.228","0","0"
"02/17/2014 17:01:48.165","0","0"
"02/17/2014 17:01:59.025","0","0"
"02/17/2014 17:02:09.900","0","0"
"02/17/2014 17:02:20.822","0","0"
"02/17/2014 17:02:31.728","0","0"
"02/17/2014 17:02:42.712","0","0"
"02/17/2014 17:02:53.603","0","0"
"02/17/2014 17:03:04.525","0","0"
"02/17/2014 17:03:15.400","0","0"
"02/17/2014 17:03:26.291","0","0"
"02/17/2014 17:03:37.182","0","0"
"02/17/2014 17:03:48.104","0","0"
"02/17/2014 17:03:58.979","0","0"
"02/17/2014 17:04:09.854","0","0"
"02/17/2014 17:04:20.760","0","0"
"02/17/2014 17:04:31.667","0","0"
"02/17/2014 17:04:42.604","0","0"
"02/17/2014 17:04:53.542","0","0"
"02/17/2014 17:05:04.417","0","0"
"02/17/2014 17:05:15.324","0","0"
"02/17/2014 17:05:26.293","0","0"
"02/17/2014 17:05:37.215","0","0"
"02/17/2014 17:05:48.121","0","0"
"02/17/2014 17:05:59.059","0","0"
"02/17/2014 17:06:10.137","0","0"
"02/17/2014 17:06:21.043","0","0"
"02/17/2014 17:06:31.949","0","0"
