"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\temperature (ºc)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\temperature (ºc)"
"02/17/2014 16:32:00.589","0","0"
"02/17/2014 16:32:11.496","0","0"
"02/17/2014 16:32:22.386","0","0"
"02/17/2014 16:32:33.308","0","0"
"02/17/2014 16:32:44.214","0","0"
"02/17/2014 16:32:55.136","0","0"
"02/17/2014 16:33:06.011","0","0"
"02/17/2014 16:33:16.901","0","0"
"02/17/2014 16:33:27.823","0","0"
"02/17/2014 16:33:38.776","0","0"
"02/17/2014 16:33:49.729","0","0"
"02/17/2014 16:34:00.948","0","0"
"02/17/2014 16:34:11.838","0","0"
"02/17/2014 16:34:22.760","0","0"
"02/17/2014 16:34:33.697","0","0"
"02/17/2014 16:34:44.635","0","0"
"02/17/2014 16:34:55.572","0","0"
"02/17/2014 16:35:06.447","0","0"
"02/17/2014 16:35:17.353","0","0"
"02/17/2014 16:35:28.275","0","0"
"02/17/2014 16:35:39.165","0","0"
"02/17/2014 16:35:50.072","0","0"
"02/17/2014 16:36:00.993","0","0"
"02/17/2014 16:36:11.931","0","0"
"02/17/2014 16:36:22.837","0","0"
"02/17/2014 16:36:33.727","0","0"
"02/17/2014 16:36:44.618","0","0"
"02/17/2014 16:36:55.508","0","0"
"02/17/2014 16:37:06.446","0","0"
"02/17/2014 16:37:17.399","0","0"
