"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\core clock (mhz)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\core clock (mhz)"
"02/17/2014 16:08:38.070","0","540"
"02/17/2014 16:08:38.070","0","540"
"02/17/2014 16:08:49.226","0","540"
"02/17/2014 16:09:00.351","0","540"
"02/17/2014 16:09:11.539","0","540"
"02/17/2014 16:09:22.679","0","540"
"02/17/2014 16:09:33.945","0","540"
"02/17/2014 16:09:45.179","0","540"
"02/17/2014 16:09:56.508","0","540"
"02/17/2014 16:10:07.820","0","540"
"02/17/2014 16:10:19.149","0","540"
"02/17/2014 16:10:30.477","0","540"
"02/17/2014 16:10:41.727","0","540"
"02/17/2014 16:10:53.024","0","540"
"02/17/2014 16:11:04.352","0","540"
"02/17/2014 16:11:15.633","0","540"
"02/17/2014 16:11:26.899","0","540"
"02/17/2014 16:11:38.165","0","540"
"02/17/2014 16:11:49.446","0","540"
"02/17/2014 16:12:00.774","0","540"
"02/17/2014 16:12:12.071","0","540"
"02/17/2014 16:12:23.337","0","540"
"02/17/2014 16:12:34.634","0","540"
"02/17/2014 16:12:45.931","0","540"
"02/17/2014 16:12:57.212","0","540"
"02/17/2014 16:13:08.509","0","540"
"02/17/2014 16:13:19.822","0","540"
"02/17/2014 16:13:31.135","0","540"
"02/17/2014 16:13:42.385","0","540"
"02/17/2014 16:13:53.682","0","540"
"02/17/2014 16:14:04.963","0","540"
"02/17/2014 16:14:16.276","0","540"
"02/17/2014 16:14:27.558","0","540"
"02/17/2014 16:14:38.777","0","540"
"02/17/2014 16:14:49.949","0","540"
"02/17/2014 16:15:01.121","0","540"
"02/17/2014 16:15:12.246","0","540"
"02/17/2014 16:15:23.449","0","540"
"02/17/2014 16:15:34.637","0","540"
"02/17/2014 16:15:45.824","0","540"
"02/17/2014 16:15:56.996","0","540"
"02/17/2014 16:16:08.153","0","540"
"02/17/2014 16:16:19.309","0","540"
"02/17/2014 16:16:30.497","0","540"
"02/17/2014 16:16:41.685","0","540"
"02/17/2014 16:16:52.810","0","540"
"02/17/2014 16:17:04.076","0","540"
"02/17/2014 16:17:15.263","0","540"
"02/17/2014 16:17:26.404","0","540"
"02/17/2014 16:17:37.529","0","540"
"02/17/2014 16:17:48.639","0","540"
"02/17/2014 16:17:59.780","0","1147"
"02/17/2014 16:18:10.733","0","1147"
"02/17/2014 16:18:21.608","0","1147"
"02/17/2014 16:18:32.577","0","1147"
"02/17/2014 16:18:43.530","0","1147"
"02/17/2014 16:18:54.499","0","1147"
"02/17/2014 16:19:05.421","0","1147"
"02/17/2014 16:19:16.343","0","1147"
"02/17/2014 16:19:27.297","0","1147"
"02/17/2014 16:19:38.234","0","1147"
"02/17/2014 16:19:49.109","0","1147"
