"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\% gpu usage","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\% gpu usage"
"02/17/2014 16:34:21.526","0","98"
"02/17/2014 16:34:32.463","0","98"
"02/17/2014 16:34:43.400","0","98"
"02/17/2014 16:34:54.322","0","98"
"02/17/2014 16:35:05.228","0","98"
"02/17/2014 16:35:16.119","0","98"
"02/17/2014 16:35:27.041","0","88"
"02/17/2014 16:35:37.947","0","98"
"02/17/2014 16:35:48.853","0","98"
"02/17/2014 16:35:59.759","0","88"
"02/17/2014 16:36:10.696","0","98"
"02/17/2014 16:36:21.602","0","98"
"02/17/2014 16:36:32.509","0","98"
"02/17/2014 16:36:43.384","0","98"
"02/17/2014 16:36:54.290","0","98"
"02/17/2014 16:37:05.227","0","98"
"02/17/2014 16:37:16.180","0","0"
