"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\% gpu usage","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\% gpu usage"
"02/17/2014 16:08:34.226","0","0"
"02/17/2014 16:08:34.226","0","0"
"02/17/2014 16:08:45.382","0","0"
"02/17/2014 16:08:56.492","0","0"
"02/17/2014 16:09:07.695","0","0"
"02/17/2014 16:09:18.835","0","0"
"02/17/2014 16:09:30.023","0","0"
"02/17/2014 16:09:41.273","0","0"
"02/17/2014 16:09:52.586","0","0"
"02/17/2014 16:10:03.914","0","0"
"02/17/2014 16:10:15.227","0","0"
"02/17/2014 16:10:26.539","0","0"
"02/17/2014 16:10:37.805","0","0"
"02/17/2014 16:10:49.118","0","0"
"02/17/2014 16:11:00.430","0","0"
"02/17/2014 16:11:11.727","0","0"
"02/17/2014 16:11:23.008","0","0"
"02/17/2014 16:11:34.259","0","0"
"02/17/2014 16:11:45.524","0","0"
"02/17/2014 16:11:56.853","0","0"
"02/17/2014 16:12:08.165","0","0"
"02/17/2014 16:12:19.415","0","0"
"02/17/2014 16:12:30.712","0","0"
"02/17/2014 16:12:42.025","0","0"
"02/17/2014 16:12:53.291","0","0"
"02/17/2014 16:13:04.572","0","0"
"02/17/2014 16:13:15.900","0","0"
"02/17/2014 16:13:27.213","0","0"
"02/17/2014 16:13:38.494","0","0"
"02/17/2014 16:13:49.760","0","0"
"02/17/2014 16:14:01.042","0","0"
"02/17/2014 16:14:12.354","0","0"
"02/17/2014 16:14:23.636","0","0"
"02/17/2014 16:14:34.917","0","0"
"02/17/2014 16:14:46.089","0","0"
"02/17/2014 16:14:57.277","0","0"
"02/17/2014 16:15:08.418","0","0"
"02/17/2014 16:15:19.590","0","0"
"02/17/2014 16:15:30.762","0","0"
"02/17/2014 16:15:41.949","0","0"
"02/17/2014 16:15:53.137","0","0"
"02/17/2014 16:16:04.309","0","0"
"02/17/2014 16:16:15.450","0","0"
"02/17/2014 16:16:26.653","0","0"
"02/17/2014 16:16:37.825","0","0"
"02/17/2014 16:16:48.950","0","0"
"02/17/2014 16:17:00.154","0","0"
"02/17/2014 16:17:11.419","0","0"
"02/17/2014 16:17:22.545","0","0"
"02/17/2014 16:17:33.685","0","0"
"02/17/2014 16:17:44.795","0","0"
"02/17/2014 16:17:55.951","0","0"
"02/17/2014 16:18:07.030","0","98"
"02/17/2014 16:18:17.936","0","98"
"02/17/2014 16:18:28.889","0","98"
"02/17/2014 16:18:39.843","0","92"
"02/17/2014 16:18:50.812","0","98"
"02/17/2014 16:19:01.734","0","98"
"02/17/2014 16:19:12.671","0","98"
"02/17/2014 16:19:23.609","0","98"
"02/17/2014 16:19:34.547","0","98"
"02/17/2014 16:19:45.453","0","98"
"02/17/2014 16:19:56.328","0","98"
"02/17/2014 16:20:07.219","0","98"
"02/17/2014 16:20:18.141","0","98"
"02/17/2014 16:20:29.094","0","99"
"02/17/2014 16:20:40.048","0","88"
"02/17/2014 16:20:50.970","0","98"
"02/17/2014 16:21:01.939","0","98"
"02/17/2014 16:21:12.892","0","94"
"02/17/2014 16:21:23.814","0","98"
"02/17/2014 16:21:34.752","0","98"
"02/17/2014 16:21:45.674","0","98"
"02/17/2014 16:21:56.611","0","98"
"02/17/2014 16:22:07.533","0","89"
"02/17/2014 16:22:18.487","0","98"
"02/17/2014 16:22:29.393","0","98"
"02/17/2014 16:22:40.315","0","88"
"02/17/2014 16:22:51.237","0","98"
"02/17/2014 16:23:02.175","0","98"
"02/17/2014 16:23:13.363","0","98"
"02/17/2014 16:23:24.285","0","98"
"02/17/2014 16:23:35.191","0","98"
"02/17/2014 16:23:46.176","0","98"
"02/17/2014 16:23:57.098","0","98"
"02/17/2014 16:24:08.051","0","88"
"02/17/2014 16:24:19.379","0","98"
"02/17/2014 16:24:30.301","0","98"
"02/17/2014 16:24:41.223","0","98"
"02/17/2014 16:24:52.145","0","98"
"02/17/2014 16:25:03.099","0","95"
"02/17/2014 16:25:13.989","0","98"
"02/17/2014 16:25:24.896","0","98"
"02/17/2014 16:25:36.037","0","98"
"02/17/2014 16:25:47.084","0","98"
"02/17/2014 16:25:58.006","0","98"
"02/17/2014 16:26:08.990","0","98"
"02/17/2014 16:26:20.006","0","98"
"02/17/2014 16:26:30.944","0","98"
"02/17/2014 16:26:41.897","0","98"
"02/17/2014 16:26:52.819","0","98"
"02/17/2014 16:27:03.694","0","89"
"02/17/2014 16:27:14.632","0","98"
"02/17/2014 16:27:25.523","0","98"
"02/17/2014 16:27:36.382","0","94"
"02/17/2014 16:27:47.351","0","98"
"02/17/2014 16:27:58.273","0","98"
"02/17/2014 16:28:09.226","0","98"
"02/17/2014 16:28:20.133","0","98"
"02/17/2014 16:28:31.039","0","88"
"02/17/2014 16:28:42.368","0","98"
"02/17/2014 16:28:53.290","0","98"
"02/17/2014 16:29:04.212","0","98"
"02/17/2014 16:29:15.118","0","98"
"02/17/2014 16:29:26.040","0","98"
"02/17/2014 16:29:37.040","0","98"
"02/17/2014 16:29:47.947","0","98"
"02/17/2014 16:29:58.916","0","98"
"02/17/2014 16:30:09.853","0","99"
"02/17/2014 16:30:21.025","0","98"
"02/17/2014 16:30:32.026","0","98"
"02/17/2014 16:30:43.010","0","98"
"02/17/2014 16:30:53.917","0","99"
"02/17/2014 16:31:04.870","0","98"
"02/17/2014 16:31:15.807","0","98"
"02/17/2014 16:31:26.698","0","92"
"02/17/2014 16:31:37.573","0","98"
"02/17/2014 16:31:48.449","0","98"
"02/17/2014 16:31:59.355","0","89"
"02/17/2014 16:32:10.261","0","98"
"02/17/2014 16:32:21.167","0","98"
"02/17/2014 16:32:32.074","0","98"
"02/17/2014 16:32:42.995","0","98"
"02/17/2014 16:32:53.901","0","98"
"02/17/2014 16:33:04.776","0","98"
"02/17/2014 16:33:15.683","0","98"
"02/17/2014 16:33:26.573","0","99"
"02/17/2014 16:33:37.557","0","98"
"02/17/2014 16:33:48.495","0","98"
"02/17/2014 16:33:59.682","0","97"
"02/17/2014 16:34:10.604","0","98"
