"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\processor(_total)\% processor time"
"02/17/2014 16:29:03.040","2.1685978943795869"
"02/17/2014 16:29:13.962","2.4783194327841596"
"02/17/2014 16:29:24.868","2.2758814823962026"
"02/17/2014 16:29:35.868","2.4606488499261725"
"02/17/2014 16:29:46.775","2.2400111831438529"
"02/17/2014 16:29:57.744","2.4943878020296184"
"02/17/2014 16:30:08.681","2.4567877422853601"
"02/17/2014 16:30:19.775","2.069693138915274"
"02/17/2014 16:30:30.854","2.7523356386914943"
"02/17/2014 16:30:41.823","2.1822816523830113"
"02/17/2014 16:30:52.760","2.5644915964460058"
"02/17/2014 16:31:03.698","2.0188647202485921"
"02/17/2014 16:31:14.651","2.4803383814222535"
"02/17/2014 16:31:25.542","1.7503074286925435"
"02/17/2014 16:31:36.417","3.0095766793928669"
"02/17/2014 16:31:47.277","1.7280557660771745"
"02/17/2014 16:31:58.167","2.6916466296441621"
"02/17/2014 16:32:09.089","2.414740510009783"
"02/17/2014 16:32:20.011","2.2519556373000071"
"02/17/2014 16:32:30.902","1.9540705558739213"
"02/17/2014 16:32:41.823","2.2610262864233954"
"02/17/2014 16:32:52.745","3.0570995829315439"
"02/17/2014 16:33:03.620","1.7412806815424009"
"02/17/2014 16:33:14.526","2.550724159821316"
"02/17/2014 16:33:25.401","1.9568078284414425"
"02/17/2014 16:33:36.385","2.4348088613232566"
"02/17/2014 16:33:47.307","2.1362059886070872"
"02/17/2014 16:33:58.385","2.246848070405727"
"02/17/2014 16:34:09.432","2.2620757137583047"
"02/17/2014 16:34:20.354","3.0478284821785606"
"02/17/2014 16:34:31.275","2.0554620958372793"
"02/17/2014 16:34:42.228","2.7629732352528635"
"02/17/2014 16:34:53.150","1.6622336438037899"
"02/17/2014 16:35:04.072","2.7885264689248457"
"02/17/2014 16:35:14.947","1.8937319483748216"
"02/17/2014 16:35:25.884","2.5168854254181805"
"02/17/2014 16:35:36.790","2.4614223096225185"
"02/17/2014 16:35:47.697","1.9688628407520836"
"02/17/2014 16:35:58.587","2.1513076625500394"
"02/17/2014 16:36:09.493","3.4732096886956332"
"02/17/2014 16:36:20.431","3.1595338208784796"
"02/17/2014 16:36:31.321","1.9989139018315893"
"02/17/2014 16:36:42.212","2.4287973820521724"
"02/17/2014 16:36:53.118","2.3091460765364613"
"02/17/2014 16:37:04.055","2.1242655453441173"
"02/17/2014 16:37:14.993","2.6429737487583038"
