"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\power consumption (mw)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\power consumption (mw)"
"02/17/2014 16:32:01.824","0","0"
"02/17/2014 16:32:12.730","0","0"
"02/17/2014 16:32:23.621","0","0"
"02/17/2014 16:32:34.542","0","0"
"02/17/2014 16:32:45.448","0","0"
"02/17/2014 16:32:56.355","0","0"
"02/17/2014 16:33:07.229","0","0"
"02/17/2014 16:33:18.136","0","0"
"02/17/2014 16:33:29.057","0","0"
"02/17/2014 16:33:39.995","0","0"
"02/17/2014 16:33:50.979","0","0"
"02/17/2014 16:34:02.166","0","0"
"02/17/2014 16:34:13.057","0","0"
"02/17/2014 16:34:23.994","0","0"
"02/17/2014 16:34:34.932","0","0"
"02/17/2014 16:34:45.869","0","0"
"02/17/2014 16:34:56.791","0","0"
"02/17/2014 16:35:07.666","0","0"
"02/17/2014 16:35:18.603","0","0"
"02/17/2014 16:35:29.509","0","0"
"02/17/2014 16:35:40.400","0","0"
"02/17/2014 16:35:51.306","0","0"
"02/17/2014 16:36:02.212","0","0"
"02/17/2014 16:36:13.149","0","0"
"02/17/2014 16:36:24.056","0","0"
"02/17/2014 16:36:34.946","0","0"
"02/17/2014 16:36:45.837","0","0"
"02/17/2014 16:36:56.727","0","0"
"02/17/2014 16:37:07.665","0","0"
"02/17/2014 16:37:18.618","0","0"
