"(PDH-CSV 4.0) (E. South America Standard Time)(180)","\\star04\nvidia gpu(#1 tesla m2050 (id=768))\power consumption (mw)","\\star04\nvidia gpu(#0 tesla m2050 (id=512))\power consumption (mw)"
"02/17/2014 16:05:33.866","0","0"
"02/17/2014 16:05:33.866","0","0"
"02/17/2014 16:05:45.069","0","0"
"02/17/2014 16:05:56.381","0","0"
"02/17/2014 16:06:07.709","0","0"
"02/17/2014 16:06:18.928","0","0"
"02/17/2014 16:06:30.131","0","0"
"02/17/2014 16:06:41.303","0","0"
"02/17/2014 16:06:52.272","0","0"
"02/17/2014 16:07:03.272","0","0"
"02/17/2014 16:07:14.303","0","0"
"02/17/2014 16:07:25.288","0","0"
"02/17/2014 16:07:36.272","0","0"
"02/17/2014 16:07:47.272","0","0"
"02/17/2014 16:07:58.272","0","0"
"02/17/2014 16:08:09.163","0","0"
